S1_total_0,S1_delta_0,S1_min_0,S1_max_0,S1_mean_0,S2_total_0,S2_delta_0,S2_min_0,S2_max_0,S2_mean_0,S1_total_1,S1_delta_1,S1_min_1,S1_max_1,S1_mean_1,S2_total_1,S2_delta_1,S2_min_1,S2_max_1,S2_mean_1,S1_total_2,S1_delta_2,S1_min_2,S1_max_2,S1_mean_2,S2_total_2,S2_delta_2,S2_min_2,S2_max_2,S2_mean_2,S1_total_3,S1_delta_3,S1_min_3,S1_max_3,S1_mean_3,S2_total_3,S2_delta_3,S2_min_3,S2_max_3,S2_mean_3,Danger Rating
440.0,12.0,-1.7,3.5,0.7739130434782608,1189.0,20.0,-3.2,0.1,-1.691304347826087,428.0,1.0,-2.3,0.1,-0.8913043478260869,1169.0,20.0,-2.6,0.1,-1.1521739130434783,427.0,14.0,0.0,3.8,1.891304347826087,1149.0,30.0,-0.3,2.3,0.5565217391304348,413.0,-6.0,-3.2,4.0,0.11304347826086956,1119.0,1.0,-1.1,3.8,0.6869565217391305,3
463.0,6.0,0.1,3.0,1.1217391304347826,1242.0,15.0,-1.6,0.6,-0.5086956521739131,457.0,10.0,-3.7,2.5,-1.5739130434782609,1227.0,5.0,-2.8,1.9,-1.5521739130434782,447.0,8.0,-1.8,0.4,-0.7086956521739131,1222.0,27.0,-2.8,4.3,-0.6130434782608696,439.0,-1.0,-1.5,2.5,0.8,1195.0,6.0,-3.1,0.7,-0.6304347826086957,3
500.0,19.0,-0.5,1.5,0.05217391304347825,1432.0,21.0,-0.7,0.2,-0.2826086956521739,481.0,5.0,-1.1,3.1,0.3739130434782609,1411.0,21.0,-1.3,2.1,-0.43913043478260866,476.0,-2.0,-4.1,4.3,-0.24782608695652178,1390.0,50.0,-2.8,1.6,-1.2347826086956522,478.0,20.0,-4.7,-2.0,-3.3434782608695652,1340.0,5.0,-3.6,0.2,-2.391304347826087,3
584.0,-2.0,-1.9,6.7,2.1782608695652175,1698.0,15.0,-0.3,2.2,0.6478260869565218,586.0,8.0,0.5,8.3,3.765217391304348,1683.0,0.0,0.8,3.9,2.0565217391304347,578.0,8.0,-3.3,5.6,1.4478260869565218,1683.0,1.0,-3.5,8.9,0.8391304347826086,570.0,11.0,-12.6,8.4,-5.517391304347826,1682.0,-3.0,-6.8,8.4,-0.9869565217391304,3
593.0,0.0,-1.0,15.5,5.130434782608695,1724.0,-5.0,2.0,17.5,7.891304347826087,593.0,3.0,-2.0,16.9,4.869565217391305,1729.0,-3.0,3.3,18.1,8.782608695652174,590.0,9.0,-2.0,17.2,4.473913043478261,1732.0,0.0,3.5,18.3,9.38695652173913,581.0,4.0,-3.8,15.9,1.7260869565217392,1732.0,-1.0,-1.9,14.4,3.6782608695652175,3
577.0,0.0,-2.7,13.5,3.208695652173913,1701.0,-10.0,1.1,14.8,6.778260869565218,577.0,-11.0,-3.7,12.7,2.878260869565217,1711.0,-5.0,1.2,15.8,6.839130434782609,588.0,11.0,5.3,14.2,9.947826086956521,1716.0,-8.0,5.8,17.0,10.478260869565217,577.0,-5.0,-2.6,19.3,5.326086956521739,1724.0,-5.0,1.5,20.7,7.839130434782609,-1
429.0,-23.0,-1.4,7.8,1.817391304347826,1538.0,-11.0,-3.0,8.2,0.5695652173913043,452.0,-27.0,1.6,8.1,3.773913043478261,1549.0,-22.0,0.1,4.2,2.091304347826087,479.0,-24.0,3.4,10.1,5.752173913043478,1571.0,-26.0,3.7,5.9,4.582608695652174,503.0,-18.0,1.5,11.3,5.7,1597.0,-24.0,4.4,13.4,7.843478260869565,-1
418.0,-7.0,-0.4,11.4,3.252173913043478,1501.0,-26.0,0.2,11.0,4.243478260869566,425.0,-4.0,-1.9,6.3,1.9652173913043478,1527.0,-11.0,-1.8,9.9,2.734782608695652,429.0,-23.0,-1.4,7.8,1.817391304347826,1538.0,-11.0,-3.0,8.2,0.5695652173913043,452.0,-27.0,1.6,8.1,3.773913043478261,1549.0,-22.0,0.1,4.2,2.091304347826087,-1
0,0,5.9,17.1,10.869565217391305,524.0,-45.0,6.8,19.3,10.595652173913043,0,0.0,5.2,20.5,12.78695652173913,569.0,-46.0,8.9,22.2,15.247826086956522,0.0,0.0,9.1,21.7,15.504347826086956,615.0,-43.0,10.8,24.5,17.608695652173914,0,0,4.6,24.1,12.960869565217392,658.0,-39.0,10.1,26.8,17.643478260869564,-1
0,0,3.1,7.1,4.808695652173913,357.0,-17.0,-0.5,7.9,3.239130434782609,0,0,0.9,9.3,4.008695652173913,374.0,-13.0,-0.4,8.5,1.9652173913043478,0,0,0.4,8.1,3.7956521739130435,387.0,-20.0,0.0,5.0,1.5913043478260869,0,0,3.1,10.0,6.004347826086956,407.0,-21.0,3.7,7.5,4.443478260869565,4
0,0,7.3,21.5,14.604347826086956,0,0,13.3,24.6,18.617391304347827,0,0,7.3,23.3,14.560869565217391,0,0,12.7,24.6,18.42608695652174,0,0,6.9,22.5,14.039130434782608,0,0,11.3,24.0,17.191304347826087,0,0.0,0.0,23.5,13.778260869565218,0,0,10.4,22.3,16.786956521739132,-1
0,0,5.2,15.7,9.6,0,0,7.7,17.6,10.221739130434782,0,0,7.2,17.2,12.091304347826087,0,0,7.2,17.1,12.069565217391304,0,0,3.7,16.9,10.047826086956523,0,0,7.3,16.3,10.756521739130434,0,0,4.4,18.3,11.817391304347826,0,0,0.0,23.3,13.960869565217392,-1
0,0,8.0,15.9,10.791304347826086,0,0,6.6,11.2,8.23913043478261,0,0,6.8,15.9,10.282608695652174,0,0,7.0,12.2,8.839130434782609,0,0,1.3,14.5,6.1695652173913045,0,0,5.5,14.2,9.3,0,0,5.2,13.8,7.908695652173913,0,0,8.5,17.4,11.847826086956522,-1
0,0,8.0,14.8,11.226086956521739,0,0,8.9,10.8,9.560869565217391,0,0,8.0,15.9,10.791304347826086,0,0,6.6,11.2,8.23913043478261,0,0,6.8,15.9,10.282608695652174,0,0,7.0,12.2,8.839130434782609,0,0,1.3,14.5,6.1695652173913045,0,0,5.5,14.2,9.3,-1
0,0,4.7,19.8,11.221739130434782,0,0,11.0,23.7,16.7,0,0,6.6,20.3,13.543478260869565,0,0,10.8,22.4,16.4,0,0,6.6,21.0,13.004347826086956,0,0,11.0,22.8,16.378260869565217,0,0,9.7,19.6,14.395652173913044,0,0,12.0,21.8,16.64782608695652,-1
0,0,2.9,9.4,5.434782608695652,0,0,3.9,12.7,7.9,0,0,9.3,11.4,10.42608695652174,0,0,7.4,12.9,8.908695652173913,0,0,4.1,12.3,7.691304347826087,0,0,4.5,10.3,6.965217391304348,0,0,3.1,11.0,6.926086956521739,0,0,3.8,10.5,6.1,-1
