S1_total_0,S1_delta_0,S1_min_0,S1_max_0,S1_mean_0,S2_total_0,S2_delta_0,S2_min_0,S2_max_0,S2_mean_0,S1_total_1,S1_delta_1,S1_min_1,S1_max_1,S1_mean_1,S2_total_1,S2_delta_1,S2_min_1,S2_max_1,S2_mean_1,S1_total_2,S1_delta_2,S1_min_2,S1_max_2,S1_mean_2,S2_total_2,S2_delta_2,S2_min_2,S2_max_2,S2_mean_2,S1_total_3,S1_delta_3,S1_min_3,S1_max_3,S1_mean_3,S2_total_3,S2_delta_3,S2_min_3,S2_max_3,S2_mean_3,Danger Rating
257.0,7.0,-15.1,-5.2,-10.595652173913043,771.0,0.0,-12.5,-5.0,-8.695652173913043,250.0,-9.0,-18.6,-2.6,-9.986956521739131,771.0,5.0,-13.5,2.5,-5.8304347826086955,259.0,9.0,-6.7,-3.1,-4.6869565217391305,766.0,18.0,-6.3,2.2,-4.647826086956521,250.0,1.0,-7.0,-3.6,-5.3478260869565215,748.0,37.0,-7.8,-0.8,-5.3304347826086955,4
261.0,4.0,-18.0,-8.7,-13.76086956521739,776.0,5.0,-9.5,-6.5,-8.095652173913043,257.0,7.0,-15.1,-5.2,-10.595652173913043,771.0,0.0,-12.5,-5.0,-8.695652173913043,250.0,-9.0,-18.6,-2.6,-9.986956521739131,771.0,5.0,-13.5,2.5,-5.8304347826086955,259.0,9.0,-6.7,-3.1,-4.6869565217391305,766.0,18.0,-6.3,2.2,-4.647826086956521,4
261.0,0.0,-18.6,-9.7,-14.717391304347826,784.0,8.0,-9.7,-3.1,-7.717391304347826,261.0,4.0,-18.0,-8.7,-13.76086956521739,776.0,5.0,-9.5,-6.5,-8.095652173913043,257.0,7.0,-15.1,-5.2,-10.595652173913043,771.0,0.0,-12.5,-5.0,-8.695652173913043,250.0,-9.0,-18.6,-2.6,-9.986956521739131,771.0,5.0,-13.5,2.5,-5.8304347826086955,3
261.0,0.0,-17.5,-0.1,-11.447826086956521,790.0,6.0,-6.4,11.0,-1.2043478260869565,261.0,0.0,-18.6,-9.7,-14.717391304347826,784.0,8.0,-9.7,-3.1,-7.717391304347826,261.0,4.0,-18.0,-8.7,-13.76086956521739,776.0,5.0,-9.5,-6.5,-8.095652173913043,257.0,7.0,-15.1,-5.2,-10.595652173913043,771.0,0.0,-12.5,-5.0,-8.695652173913043,4
265.0,4.0,-13.4,6.9,-7.791304347826087,791.0,1.0,-2.7,13.2,1.6695652173913043,261.0,0.0,-17.5,-0.1,-11.447826086956521,790.0,6.0,-6.4,11.0,-1.2043478260869565,261.0,0.0,-18.6,-9.7,-14.717391304347826,784.0,8.0,-9.7,-3.1,-7.717391304347826,261.0,4.0,-18.0,-8.7,-13.76086956521739,776.0,5.0,-9.5,-6.5,-8.095652173913043,3
275.0,10.0,-5.4,3.7,-2.1130434782608694,791.0,0.0,0.0,11.3,3.378260869565217,265.0,4.0,-13.4,6.9,-7.791304347826087,791.0,1.0,-2.7,13.2,1.6695652173913043,261.0,0.0,-17.5,-0.1,-11.447826086956521,790.0,6.0,-6.4,11.0,-1.2043478260869565,261.0,0.0,-18.6,-9.7,-14.717391304347826,784.0,8.0,-9.7,-3.1,-7.717391304347826,3
270.0,-5.0,-11.9,0.0,-5.660869565217391,793.0,2.0,-0.8,4.3,1.2304347826086957,275.0,10.0,-5.4,3.7,-2.1130434782608694,791.0,0.0,0.0,11.3,3.378260869565217,265.0,4.0,-13.4,6.9,-7.791304347826087,791.0,1.0,-2.7,13.2,1.6695652173913043,261.0,0.0,-17.5,-0.1,-11.447826086956521,790.0,6.0,-6.4,11.0,-1.2043478260869565,3
263.0,-7.0,-27.1,-9.3,-18.213043478260868,784.0,-9.0,-13.7,-2.3,-8.256521739130434,270.0,-5.0,-11.9,0.0,-5.660869565217391,793.0,2.0,-0.8,4.3,1.2304347826086957,275.0,10.0,-5.4,3.7,-2.1130434782608694,791.0,0.0,0.0,11.3,3.378260869565217,265.0,4.0,-13.4,6.9,-7.791304347826087,791.0,1.0,-2.7,13.2,1.6695652173913043,3
275.0,5.0,-18.0,-2.1,-14.843478260869565,822.0,34.0,-4.2,0.2,-2.791304347826087,270.0,7.0,-18.2,-13.3,-16.630434782608695,788.0,4.0,-10.4,-2.9,-8.447826086956521,263.0,-7.0,-27.1,-9.3,-18.213043478260868,784.0,-9.0,-13.7,-2.3,-8.256521739130434,270.0,-5.0,-11.9,0.0,-5.660869565217391,793.0,2.0,-0.8,4.3,1.2304347826086957,3
276.0,1.0,-9.8,0.2,-5.291304347826087,833.0,11.0,-8.2,1.0,-4.060869565217391,275.0,5.0,-18.0,-2.1,-14.843478260869565,822.0,34.0,-4.2,0.2,-2.791304347826087,270.0,7.0,-18.2,-13.3,-16.630434782608695,788.0,4.0,-10.4,-2.9,-8.447826086956521,263.0,-7.0,-27.1,-9.3,-18.213043478260868,784.0,-9.0,-13.7,-2.3,-8.256521739130434,3
280.0,4.0,-13.0,-3.9,-8.039130434782608,840.0,7.0,-3.9,3.4,-1.9782608695652173,276.0,1.0,-9.8,0.2,-5.291304347826087,833.0,11.0,-8.2,1.0,-4.060869565217391,275.0,5.0,-18.0,-2.1,-14.843478260869565,822.0,34.0,-4.2,0.2,-2.791304347826087,270.0,7.0,-18.2,-13.3,-16.630434782608695,788.0,4.0,-10.4,-2.9,-8.447826086956521,3
286.0,6.0,-13.2,-2.5,-10.447826086956521,866.0,26.0,-1.7,1.1,-0.15217391304347827,280.0,4.0,-13.0,-3.9,-8.039130434782608,840.0,7.0,-3.9,3.4,-1.9782608695652173,276.0,1.0,-9.8,0.2,-5.291304347826087,833.0,11.0,-8.2,1.0,-4.060869565217391,275.0,5.0,-18.0,-2.1,-14.843478260869565,822.0,34.0,-4.2,0.2,-2.791304347826087,4
