S1_total_0,S1_delta_0,S1_min_0,S1_max_0,S1_mean_0,S2_total_0,S2_delta_0,S2_min_0,S2_max_0,S2_mean_0,S1_total_1,S1_delta_1,S1_min_1,S1_max_1,S1_mean_1,S2_total_1,S2_delta_1,S2_min_1,S2_max_1,S2_mean_1,Danger Rating
469.0,13.0,-4.4,-1.3,-3.1043478260869564,1379.0,18.0,0.0,2.5,0.19130434782608696,456.0,21.0,-4.2,-0.8,-3.1739130434782608,1361.0,19.0,-1.2,1.4,0.008695652173913042,3
548.0,-2.0,-0.1,4.6,1.617391304347826,1776.0,11.0,0.0,1.4,0.0608695652173913,550.0,2.0,-0.2,4.3,1.373913043478261,1765.0,14.0,0.0,2.7,0.3391304347826087,3
555.0,15.0,-1.7,8.6,2.4869565217391303,1783.0,-8.0,0.0,9.4,2.526086956521739,540.0,-4.0,-4.5,7.2,0.5739130434782608,1791.0,-3.0,0.0,11.5,3.282608695652174,2
254.0,-12.0,2.2,19.2,9.204347826086957,1447.0,-8.0,0.0,23.7,11.360869565217392,266.0,-19.0,0.3,15.9,6.904347826086957,1455.0,-16.0,0.0,19.5,9.082608695652175,-1
0,0,3.2,11.6,8.008695652173913,979.0,-30.0,0.0,13.1,4.391304347826087,0,0,2.4,13.2,8.578260869565216,1009.0,-20.0,0.0,16.4,6.052173913043478,-1
0,0,3.4,8.7,5.626086956521739,954.0,-25.0,0.0,5.7,1.6043478260869566,0,0,3.2,11.6,8.008695652173913,979.0,-30.0,0.0,13.1,4.391304347826087,-1
0,0,0.0,0.0,0.0,0,0,0.0,19.3,12.030434782608696,0,0,0.0,0.0,0.0,0,0,0.0,16.7,7.78695652173913,-1
0,0,0.0,0.0,0.0,2.0,1.0,14.1,25.4,19.678260869565218,0,0,0.0,0.0,0.0,1.0,0.0,15.4,26.1,20.22173913043478,-1
0,0,0.0,0.0,0.0,0,-1.0,7.9,17.7,11.408695652173913,0,0,0.0,0.0,0.0,1.0,-1.0,11.5,21.7,15.378260869565217,-1
0,0,0.0,0.0,0.0,0,0,8.8,15.9,11.130434782608695,0,0,0.0,0.0,0.0,0,0,7.1,12.4,8.608695652173912,-1
3.0,1.0,-2.0,6.5,1.1521739130434783,0,0,-0.2,8.4,2.6,2.0,-2.0,0.4,4.0,1.934782608695652,0,0,-0.3,3.3,1.182608695652174,-1
244.0,3.0,0.4,7.8,3.473913043478261,638.0,-2.0,-0.7,5.9,2.5217391304347827,241.0,1.0,-0.9,4.6,2.043478260869565,640.0,-1.0,3.6,15.9,6.434782608695652,1
288.0,10.0,-0.7,1.6,0.7608695652173914,785.0,27.0,-3.0,-0.3,-1.7565217391304349,278.0,2.0,-3.0,-0.4,-1.7956521739130435,758.0,16.0,-3.4,-2.1,-2.8347826086956522,3
301.0,2.0,-22.7,-0.1,-12.943478260869565,806.0,-1.0,-7.2,-0.1,-3.5478260869565217,299.0,1.0,-20.4,-12.5,-17.056521739130435,807.0,-1.0,-5.8,-2.2,-4.843478260869565,3
351.0,4.0,-4.2,-1.3,-2.860869565217391,938.0,37.0,-3.5,-2.3,-3.1043478260869564,347.0,28.0,-2.8,0.4,-1.4652173913043478,901.0,49.0,-2.7,0.0,-1.5173913043478262,3
413.0,15.0,-6.5,-3.6,-4.5,1108.0,49.0,-4.1,-0.5,-3.282608695652174,398.0,48.0,-4.0,-1.4,-2.6478260869565218,1059.0,97.0,-4.0,-1.4,-3.017391304347826,4
500.0,-3.0,-17.1,-1.9,-12.326086956521738,1427.0,-1.0,-10.5,5.5,-5.656521739130435,503.0,-8.0,-13.8,-8.3,-11.491304347826087,1428.0,15.0,-7.4,1.8,-2.973913043478261,2
548.0,26.0,-7.8,2.7,-2.7,1577.0,3.0,-3.2,1.4,-1.3391304347826087,522.0,6.0,-14.8,-1.7,-8.2,1574.0,-3.0,-9.9,5.8,-4.530434782608696,2
