S1_total_0,S1_delta_0,S1_min_0,S1_max_0,S1_mean_0,S2_total_0,S2_delta_0,S2_min_0,S2_max_0,S2_mean_0,S1_total_1,S1_delta_1,S1_min_1,S1_max_1,S1_mean_1,S2_total_1,S2_delta_1,S2_min_1,S2_max_1,S2_mean_1,S1_total_2,S1_delta_2,S1_min_2,S1_max_2,S1_mean_2,S2_total_2,S2_delta_2,S2_min_2,S2_max_2,S2_mean_2,S1_total_3,S1_delta_3,S1_min_3,S1_max_3,S1_mean_3,S2_total_3,S2_delta_3,S2_min_3,S2_max_3,S2_mean_3,Danger Rating
20.0,2.0,0.9,3.5,1.7043478260869565,92.0,19.0,1.4,2.4,1.934782608695652,18.0,5.0,0.2,3.5,1.5695652173913044,73.0,37.0,-0.4,0.4,-0.026086956521739132,13.0,2.0,-0.5,2.3,0.5043478260869565,36.0,4.0,0.0,0.8,0.3217391304347826,11.0,0.0,-1.7,2.0,-0.6739130434782609,32.0,3.0,-0.2,2.0,0.6956521739130435,-1
16.0,7.0,-2.4,-0.4,-1.5391304347826087,107.0,14.0,-2.5,-0.4,-1.682608695652174,9.0,5.0,-0.2,0.7,0.26956521739130435,93.0,23.0,0.0,0.9,0.2608695652173913,4.0,4.0,-1.8,1.9,-0.5478260869565218,70.0,33.0,-0.7,0.3,-0.3347826086956522,0,0,-6.5,1.4,-3.5478260869565217,37.0,5.0,-3.6,0.0,-2.3521739130434782,3
76.0,0.0,-27.5,-22.0,-24.752173913043478,361.0,0.0,-6.9,0.0,-0.5347826086956522,76.0,-4.0,-25.2,-18.0,-21.839130434782607,361.0,-3.0,-18.6,-3.1,-14.617391304347827,80.0,1.0,-17.2,-11.1,-14.41304347826087,364.0,-1.0,-15.0,-5.1,-10.630434782608695,79.0,-2.0,-12.7,-10.0,-11.182608695652174,365.0,-2.0,-12.6,-7.1,-9.617391304347827,2
142.0,12.0,-5.5,-3.2,-4.178260869565217,514.0,42.0,0.0,0.0,0.0,130.0,3.0,-10.6,-3.3,-6.113043478260869,472.0,4.0,0.0,0.0,0.0,127.0,-1.0,-20.3,-10.7,-15.056521739130435,468.0,-4.0,-3.9,0.0,-0.30434782608695654,128.0,1.0,-10.7,-8.9,-9.817391304347826,472.0,1.0,-6.9,0.0,-0.44782608695652176,3
255.0,4.0,-0.6,4.6,2.269565217391304,855.0,-1.0,0.0,2.6,0.2608695652173913,251.0,2.0,-1.5,1.5,-0.06521739130434784,856.0,-1.0,-1.1,0.0,-0.04782608695652174,249.0,-6.0,-8.5,0.2,-4.113043478260869,857.0,-1.0,-1.4,0.2,-0.09565217391304347,255.0,0.0,-7.6,-2.2,-5.147826086956521,858.0,1.0,0.0,0.0,0.0,2
326.0,4.0,-0.5,6.8,2.0521739130434784,1006.0,1.0,0.0,10.9,2.3304347826086955,322.0,11.0,-3.3,0.6,-2.239130434782609,1005.0,0.0,-0.3,1.5,0.09565217391304348,311.0,-14.0,-5.8,-2.2,-4.6,1005.0,14.0,0.0,0.0,0.0,325.0,2.0,-10.5,-1.2,-2.743478260869565,991.0,46.0,0.0,0.0,0.0,2
480.0,3.0,-5.2,0.9,-2.6652173913043478,1425.0,21.0,-0.3,0.5,0.0043478260869565235,477.0,4.0,-1.8,3.6,1.2304347826086957,1404.0,23.0,0.0,1.7,0.13043478260869565,473.0,16.0,-7.2,6.5,-3.043478260869565,1381.0,1.0,-0.7,3.6,0.5217391304347826,457.0,2.0,-15.7,-0.5,-9.26086956521739,1380.0,-5.0,-3.5,6.3,0.7695652173913043,3
513.0,-3.0,-3.9,1.1,-1.4956521739130435,1601.0,5.0,0.0,3.3,0.6478260869565218,516.0,11.0,-1.2,3.4,0.7695652173913043,1596.0,22.0,0.0,5.1,0.7,505.0,3.0,-2.5,5.5,0.5956521739130435,1574.0,-2.0,0.0,3.1,0.6391304347826087,502.0,-12.0,-5.3,3.7,-0.7217391304347825,1576.0,24.0,0.0,7.3,1.6782608695652175,3
548.0,9.0,-2.0,4.3,0.45217391304347826,1751.0,0.0,0.0,4.9,0.5130434782608696,539.0,3.0,-7.7,5.8,-1.9391304347826086,1751.0,-4.0,0.0,8.5,2.117391304347826,536.0,-3.0,-2.4,2.9,-0.37826086956521743,1755.0,3.0,0.0,3.8,0.6,539.0,-8.0,-2.9,1.9,-0.3565217391304348,1752.0,7.0,-0.7,2.6,0.2217391304347826,2
548.0,-3.0,-1.1,7.3,1.3521739130434782,1787.0,0.0,0.0,8.7,2.1652173913043478,551.0,-4.0,0.2,5.7,2.291304347826087,1787.0,4.0,0.0,6.5,1.0043478260869565,555.0,15.0,-1.7,8.6,2.4869565217391303,1783.0,-8.0,0.0,9.4,2.526086956521739,540.0,-4.0,-4.5,7.2,0.5739130434782608,1791.0,-3.0,0.0,11.5,3.282608695652174,-1
