S1_total_0,S1_delta_0,S1_min_0,S1_max_0,S1_mean_0,S2_total_0,S2_delta_0,S2_min_0,S2_max_0,S2_mean_0,S1_total_1,S1_delta_1,S1_min_1,S1_max_1,S1_mean_1,S2_total_1,S2_delta_1,S2_min_1,S2_max_1,S2_mean_1,S1_total_2,S1_delta_2,S1_min_2,S1_max_2,S1_mean_2,S2_total_2,S2_delta_2,S2_min_2,S2_max_2,S2_mean_2,Danger Rating
0,0,5.2,15.7,9.6,0,0,7.7,17.6,10.221739130434782,0,0,7.2,17.2,12.091304347826087,0,0,7.2,17.1,12.069565217391304,0,0,3.7,16.9,10.047826086956523,0,0,7.3,16.3,10.756521739130434,-1
0,0,8.0,14.8,11.226086956521739,0,0,8.9,10.8,9.560869565217391,0,0,8.0,15.9,10.791304347826086,0,0,6.6,11.2,8.23913043478261,0,0,6.8,15.9,10.282608695652174,0,0,7.0,12.2,8.839130434782609,-1
4.0,4.0,-1.8,1.9,-0.5478260869565218,70.0,33.0,-0.7,0.3,-0.3347826086956522,0,0,-6.5,1.4,-3.5478260869565217,37.0,5.0,-3.6,0.0,-2.3521739130434782,0,0,-7.7,-2.1,-4.160869565217391,32.0,0.0,-5.3,-1.3,-2.9217391304347826,-1
81.0,3.0,-11.7,-3.1,-7.334782608695652,367.0,8.0,-9.1,-3.4,-5.317391304347826,78.0,6.0,-3.3,-0.5,-2.0608695652173914,359.0,18.0,-3.8,-1.2,-2.5,72.0,6.0,-2.5,1.9,-0.25217391304347825,341.0,17.0,-4.5,-1.6,-3.226086956521739,3
80.0,1.0,-17.2,-11.1,-14.41304347826087,364.0,-1.0,-15.0,-5.1,-10.630434782608695,79.0,-2.0,-12.7,-10.0,-11.182608695652174,365.0,-2.0,-12.6,-7.1,-9.617391304347827,81.0,3.0,-11.7,-3.1,-7.334782608695652,367.0,8.0,-9.1,-3.4,-5.317391304347826,2
249.0,1.0,-5.5,-1.5,-3.643478260869565,850.0,23.0,-0.9,3.3,0.25217391304347825,248.0,5.0,-1.2,0.9,-0.43043478260869567,827.0,48.0,0.0,0.0,0.0,243.0,20.0,0.1,1.6,0.9956521739130435,779.0,80.0,0.0,0.0,0.0,3
254.0,4.0,-9.2,-4.8,-6.156521739130435,858.0,7.0,0.0,1.3,0.05652173913043478,250.0,1.0,-10.9,-1.8,-7.856521739130435,851.0,1.0,0.0,0.0,0.0,249.0,1.0,-5.5,-1.5,-3.643478260869565,850.0,23.0,-0.9,3.3,0.25217391304347825,3
258.0,3.0,-1.6,3.9,1.2478260869565216,855.0,0.0,0.0,0.0,0.0,255.0,4.0,-0.6,4.6,2.269565217391304,855.0,-1.0,0.0,2.6,0.2608695652173913,251.0,2.0,-1.5,1.5,-0.06521739130434784,856.0,-1.0,-1.1,0.0,-0.04782608695652174,2
285.0,8.0,-18.1,-14.8,-17.065217391304348,906.0,18.0,0.0,0.0,0.0,277.0,1.0,-17.3,-14.5,-16.104347826086958,888.0,31.0,0.0,0.0,0.0,276.0,6.0,-19.9,-16.3,-18.434782608695652,857.0,0.0,0.0,0.0,0.0,4
359.0,4.0,-11.5,-6.4,-9.317391304347826,1095.0,0.0,-4.7,0.0,-0.808695652173913,355.0,-1.0,-18.6,-4.8,-12.78695652173913,1095.0,-6.0,-2.2,0.0,-0.14782608695652175,356.0,-4.0,-13.7,-4.7,-9.395652173913044,1101.0,-1.0,-3.4,0.0,-0.2956521739130435,2
513.0,-3.0,-3.9,1.1,-1.4956521739130435,1601.0,5.0,0.0,3.3,0.6478260869565218,516.0,11.0,-1.2,3.4,0.7695652173913043,1596.0,22.0,0.0,5.1,0.7,505.0,3.0,-2.5,5.5,0.5956521739130435,1574.0,-2.0,0.0,3.1,0.6391304347826087,3
530.0,9.0,0.5,4.1,1.5826086956521739,1632.0,35.0,0.0,1.9,0.23478260869565218,521.0,8.0,-5.3,2.2,-1.3956521739130434,1597.0,-1.0,0.0,3.1,0.3826086956521739,513.0,0.0,-11.1,1.3,-5.2956521739130435,1598.0,-3.0,-0.7,6.2,1.2652173913043478,3
78.0,-33.0,3.4,18.8,10.41304347826087,1337.0,-21.0,0.0,23.4,12.160869565217391,111.0,-30.0,2.8,17.2,9.704347826086956,1358.0,-21.0,0.0,21.5,11.178260869565218,141.0,-27.0,2.3,18.5,9.61304347826087,1379.0,-18.0,0.0,22.1,11.052173913043479,-1
0,0,2.7,13.9,7.395652173913043,1029.0,-20.0,0.0,11.6,4.8478260869565215,0,0,1.8,9.3,5.8478260869565215,1049.0,-23.0,0.0,9.2,3.2782608695652176,0,0,1.5,9.8,5.008695652173913,1072.0,-29.0,0.0,9.6,2.9,-1
0,0,0.0,0.0,0.0,0,0,8.4,18.9,12.773913043478261,0,0,0.0,0.0,0.0,0,-1.0,7.9,17.7,11.408695652173913,0,0,0.0,0.0,0.0,1.0,-1.0,11.5,21.7,15.378260869565217,-1
61.0,18.0,-1.6,1.8,-0.4434782608695652,53.0,0.0,-0.2,0.6,0.06521739130434782,43.0,39.0,0.0,1.5,0.43478260869565216,53.0,48.0,0.0,1.8,1.0260869565217392,4.0,-1.0,-2.2,0.4,-0.9695652173913044,5.0,5.0,-2.3,0.1,-1.291304347826087,-1
63.0,2.0,-3.6,1.7,-1.5478260869565217,60.0,7.0,-2.1,-0.5,-1.4434782608695653,61.0,18.0,-1.6,1.8,-0.4434782608695652,53.0,0.0,-0.2,0.6,0.06521739130434782,43.0,39.0,0.0,1.5,0.43478260869565216,53.0,48.0,0.0,1.8,1.0260869565217392,-1
222.0,-1.0,-14.2,0.3,-9.156521739130435,644.0,-2.0,-11.2,0.0,-2.878260869565217,223.0,1.0,-14.9,-6.7,-10.969565217391304,646.0,3.0,-10.5,0.0,-5.452173913043478,222.0,1.0,-10.9,-4.2,-6.530434782608696,643.0,13.0,-3.9,-2.3,-3.239130434782609,2
256.0,7.0,-21.2,-14.2,-18.791304347826088,741.0,21.0,-7.1,-2.1,-4.843478260869565,249.0,9.0,-19.9,-16.9,-18.143478260869564,720.0,19.0,-5.4,-2.8,-4.039130434782608,240.0,0.0,-17.0,-14.6,-15.939130434782609,701.0,14.0,-6.8,-3.2,-5.221739130434782,3
